,level,level_name,field_of_study,academic_field,academic_field_imputed
253,bachelor,bachelor,"bachelor of arts b a, psychology",psychology,psychology
254,bachelor,bachelor,"bachelor of arts b a, visual communications design",,<NA>
255,bachelor,bachelor,"bachelor of arts ba honours, psychology",psychology,psychology
256,bachelor,bachelor,"bachelor of arts ba, anthropology",anthropology,anthropology
257,bachelor,bachelor,"bachelor of arts ba, contemporary music studies",,<NA>
258,bachelor,bachelor,"bachelor of arts ba, economics",economics,economics
259,bachelor,bachelor,"bachelor of arts ba, english language and literature, general",,<NA>
260,bachelor,bachelor,"bachelor of arts ba, fiction writing, creative nonfiction, research, photography",,<NA>
261,bachelor,bachelor,"bachelor of arts ba, graphic communications",,<NA>
262,bachelor,bachelor,"bachelor of arts ba, ho chi minh city university of technology school of industrial management",,<NA>
263,bachelor,bachelor,"bachelor of arts ba, politics and international relations",,<NA>
264,bachelor,bachelor,"bachelor of arts ba, psychology, communications and new media",,<NA>
265,bachelor,bachelor,"bachelor of arts ba, sociology",sociology,sociology
266,bachelor,bachelor,"bachelor of arts honors in industrial design, industrial design",,<NA>
267,bachelor,bachelor,"bachelor of arts honours, arts and social sciences",,<NA>
268,bachelor,bachelor,"bachelor of arts hons, second upper, english language",,<NA>
269,bachelor,bachelor,"bachelor of arts hons, english language and literature, general",,<NA>
270,bachelor,bachelor,"bachelor of arts hons, journalism and mass communication",,<NA>
271,bachelor,bachelor,"bachelor of arts and bachelor of education, drama and english",,<NA>
272,bachelor,bachelor,"bachelor of arts and social sciences, political science, philosophy, english literature",english literature,english literature
273,bachelor,bachelor,"bachelor of arts and social sciences ba hons, psychology",psychology,psychology
274,bachelor,bachelor,"bachelor of arts and social sciences, communications and new media",,<NA>
275,bachelor,bachelor,"bachelor of arts and social sciences, english language",,<NA>
276,bachelor,bachelor,bachelor of arts in psychology with business,,<NA>
277,bachelor,bachelor,"bachelor of arts with honours, international marketing",,<NA>
278,bachelor,bachelor,"bachelor of arts with merit, political science",political science,political science
